trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
705,False,"{'a': 0.6, 'e': 0.2949999999999994}",25,16,18.116064172716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
706,False,"{'a': 0.6, 'e': 0.2939999999999994}",20,8,-33.43121680816207,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
707,False,"{'a': 0.6, 'e': 0.29299999999999937}",25,16,2.9128220378304195,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
708,False,"{'a': 0.6, 'e': 0.29199999999999937}",25,11,-44.072236343052026,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
709,False,"{'a': 0.6, 'e': 0.29099999999999937}",20,14,9.734350214066716,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.6, 'e': 0.28999999999999937}",20,6,-12.169817832032548,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
711,False,"{'a': 0.6, 'e': 0.28899999999999937}",35,25,17.327675905496214,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.6, 'e': 0.28799999999999937}",25,1,15.899051185944673,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
713,False,"{'a': 0.6, 'e': 0.28699999999999937}",20,14,-16.93404460627738,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
714,False,"{'a': 0.6, 'e': 0.28599999999999937}",20,16,8.182866179888421,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.6, 'e': 0.28499999999999936}",30,0,-75.20065768699634,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
716,False,"{'a': 0.6, 'e': 0.28399999999999936}",25,6,-55.710174070055004,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
717,False,"{'a': 0.6, 'e': 0.28299999999999936}",20,9,18.70503457763302,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.6, 'e': 0.28199999999999936}",20,11,16.67954543404583,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.6, 'e': 0.28099999999999936}",25,14,2.1904922837876364,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
720,False,"{'a': 0.6, 'e': 0.27999999999999936}",30,19,-26.41455902745255,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
721,False,"{'a': 0.6, 'e': 0.27899999999999936}",20,3,6.722280001088956,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
722,False,"{'a': 0.6, 'e': 0.27799999999999936}",30,6,-16.449963754630204,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
723,False,"{'a': 0.6, 'e': 0.27699999999999936}",25,0,-79.41159972858624,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
724,False,"{'a': 0.6, 'e': 0.27599999999999936}",20,12,9.73125343352416,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.6, 'e': 0.27499999999999936}",30,10,3.797915937189118,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
726,False,"{'a': 0.6, 'e': 0.27399999999999936}",30,0,7.864619789402893,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
727,False,"{'a': 0.6, 'e': 0.27299999999999935}",20,0,-87.49850729936519,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
728,False,"{'a': 0.6, 'e': 0.27199999999999935}",25,5,-13.334188533238914,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
729,False,"{'a': 0.6, 'e': 0.27099999999999935}",20,12,-29.396704611336492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
730,False,"{'a': 0.6, 'e': 0.26999999999999935}",25,0,2.0630963142785324,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
731,False,"{'a': 0.6, 'e': 0.26899999999999935}",20,4,-0.10037573211248496,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
732,False,"{'a': 0.6, 'e': 0.26799999999999935}",20,11,2.0756628649333195,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
733,False,"{'a': 0.6, 'e': 0.26699999999999935}",25,0,2.1280984928947744,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
734,False,"{'a': 0.6, 'e': 0.26599999999999935}",20,6,20.718490393699636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.6, 'e': 0.26499999999999935}",20,9,8.84797950428932,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.6, 'e': 0.26399999999999935}",25,8,-20.61430367139462,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
737,False,"{'a': 0.6, 'e': 0.26299999999999935}",20,5,-33.470726399879666,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
738,False,"{'a': 0.6, 'e': 0.26199999999999934}",30,18,-1.031476736203834,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
739,False,"{'a': 0.6, 'e': 0.26099999999999934}",25,16,18.67451583363782,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.6, 'e': 0.25999999999999934}",20,12,13.963953749183819,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.6, 'e': 0.25899999999999934}",25,0,19.61845225743688,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
742,False,"{'a': 0.6, 'e': 0.25799999999999934}",20,0,-4.022223800540148,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
743,False,"{'a': 0.6, 'e': 0.25699999999999934}",25,12,-7.620404145101942,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
744,False,"{'a': 0.6, 'e': 0.25599999999999934}",20,0,1.6949697375200476,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
745,False,"{'a': 0.6, 'e': 0.25499999999999934}",25,11,5.987268485463806,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
746,False,"{'a': 0.6, 'e': 0.25399999999999934}",35,27,-7.070243763939425,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
747,False,"{'a': 0.6, 'e': 0.25299999999999934}",25,6,8.483993650793355,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
748,False,"{'a': 0.6, 'e': 0.25199999999999934}",25,20,11.163632580489164,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.6, 'e': 0.25099999999999933}",25,11,18.538194822349027,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.6, 'e': 0.24999999999999933}",30,9,-4.527468507865951,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
751,False,"{'a': 0.6, 'e': 0.24899999999999933}",20,0,18.403505755222746,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
752,False,"{'a': 0.6, 'e': 0.24799999999999933}",25,8,-30.607855671978925,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
753,False,"{'a': 0.6, 'e': 0.24699999999999933}",25,0,41.41258635495886,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
754,False,"{'a': 0.6, 'e': 0.24599999999999933}",25,2,19.676272705332863,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
755,False,"{'a': 0.6, 'e': 0.24499999999999933}",20,15,7.045751692735119,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.6, 'e': 0.24399999999999933}",20,10,10.081130895591397,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
757,False,"{'a': 0.6, 'e': 0.24299999999999933}",20,2,-6.499331558823595,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
758,False,"{'a': 0.6, 'e': 0.24199999999999933}",20,16,7.442243463177765,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
759,False,"{'a': 0.6, 'e': 0.24099999999999933}",20,13,13.249416919383787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
760,False,"{'a': 0.6, 'e': 0.23999999999999932}",25,16,2.308149984783806,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.6, 'e': 0.23899999999999932}",30,9,14.361697671431948,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
762,False,"{'a': 0.6, 'e': 0.23799999999999932}",20,9,17.15772443071493,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.6, 'e': 0.23699999999999932}",20,13,8.225253130235117,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.6, 'e': 0.23599999999999932}",30,4,-16.200252775917146,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 0}",1
765,False,"{'a': 0.6, 'e': 0.23499999999999932}",20,3,23.04642562016304,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.6, 'e': 0.23399999999999932}",30,0,1.4912465591422903,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
767,False,"{'a': 0.6, 'e': 0.23299999999999932}",20,16,8.343310610523378,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.6, 'e': 0.23199999999999932}",30,10,23.329897191667715,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
769,False,"{'a': 0.6, 'e': 0.23099999999999932}",20,14,9.711886195643856,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
770,False,"{'a': 0.6, 'e': 0.22999999999999932}",20,3,4.056698445549464,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
771,False,"{'a': 0.6, 'e': 0.22899999999999932}",20,0,-13.202923323187957,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
772,False,"{'a': 0.6, 'e': 0.22799999999999931}",20,0,3.81015747456142,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
773,False,"{'a': 0.6, 'e': 0.2269999999999993}",30,0,-10.707886974149794,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
